"id","PUMA.x","STATEFIP.x","tot_persons_point","essential_point","crowd_essential_point","crowd_point","crowd_essential_point_perc","essential_point_perc","crowd_point_perc","crowd_se","essential_se","crowd_essential_se","crowd_perc_se","essential_perc_se","crowd_essential_perc_se","state_name","STATEFIP.y","puma_name","PUMA.y"
"10_101",101,10,104364,61218.3811082725,3271.69175593094,4598,0.0313488535886986,0.586585231576717,0.0440573377793109,931.874723339999,1379.7710641621,809.968332725102,0.00898811811156169,0.0133004536028265,0.00780774525014132,"Delaware","10","New Castle County (East Central)--Wilmington City",101
"10_102",102,10,146459,86227.7479590266,1812.19438486555,3006,0.0123733904018568,0.588750079947471,0.0205245153933865,666.935566602952,1844.03304976653,426.49059991618,0.00454764797551389,0.0114073103589483,0.00290981932661891,"Delaware","10","New Castle County (North)--Hockessin",102
"10_103",103,10,139286,89761.1762804139,3248.89799256,5149,0.0233253736381259,0.644437892397038,0.0369671036572233,1003.04783036503,1721.84537406205,803.665790759069,0.00713888245036434,0.011485203175472,0.00574689042711531,"Delaware","10","New Castle County (West Central)--Newark City & Brookside",103
"10_104",104,10,148160,101814.416223094,5170.86501125314,6611,0.0349005467822161,0.687192334119157,0.0446206803455724,1286.15615303897,2070.99162746361,1137.24716478119,0.00872214615680897,0.0118387077449376,0.00770360154738144,"Delaware","10","New Castle County (South)--Middletown Town, Bear & Glasgow",104
"10_200",200,10,169534,108745.545653191,6807.26970383864,7361,0.0401528289537122,0.641437974997293,0.04341901919379,1386.52774945185,1678.94332775513,1355.85042896983,0.00817113482593337,0.00988491088607871,0.0079903087072279,"Delaware","10","Kent County--Dover City",200
"10_300",300,10,216641,122214.725184719,10513.3761629478,14005,0.0485290234209952,0.564134790666214,0.064646119617247,1571.88310634093,1771.85543022823,1436.71516898988,0.00725545850722315,0.00818105006774122,0.00663172235488784,"Delaware","10","Sussex County",300
"11_101",101,11,102153,44940.2895228287,1050.70060834898,2162,0.0102855580193336,0.439931176987741,0.0211643319334723,448.543587625551,1467.25834259736,301.525007323906,0.00438456247287103,0.0130933118810284,0.00295156911866541,"District of Columbia","11","District of Columbia (West)",101
"11_102",102,11,127011,77547.738265411,11948.4278046392,15782,0.0940739605596306,0.610559229243223,0.124256954122084,1446.8476595689,1672.69859121529,1287.69602165656,0.0111440530636215,0.0110328010607919,0.0100258057013946,"District of Columbia","11","District of Columbia (North)",102
"11_103",103,11,111774,58500.6925042684,3157.68125017184,5370,0.0282505882420942,0.523383725233671,0.0480433732352783,891.482192755413,1334.52555434693,633.22118167774,0.00788756723949616,0.0108647530555897,0.00564679742673739,"District of Columbia","11","District of Columbia (Northeast)",103
"11_104",104,11,157027,73599.8894010139,8598.96712485689,17055,0.0547610737316314,0.468708498544925,0.108611894769689,1890.0821146183,2121.53577999695,1670.701897772,0.0119849145128831,0.0130799649687579,0.0106612735293851,"District of Columbia","11","District of Columbia (East)",104
"11_105",105,11,146913,70798.1468188444,6174.72772692417,9510,0.0420298253178696,0.481905255619614,0.0647321884380552,1066.38255330815,1670.92385933799,903.416477923344,0.00716412732068322,0.0101030882448875,0.00609686251897777,"District of Columbia","11","District of Columbia (Central)",105
"12_101",101,12,132128,68434.8440833265,2844.56140635477,4679,0.0215288311815419,0.517943540228615,0.0354126301767983,949.246358960623,1720.19103494354,737.327036939518,0.00722019055778027,0.0124756363289831,0.00560220241761728,"Florida","12","Alachua County (Central)--Gainesville City (Central)",101
"12_10101",10101,12,125589,68376.6719760683,4268.98410732716,5820,0.0339917039496067,0.544447937128796,0.0463416382007978,944.8997830458,1629.61789978517,874.826113649046,0.00744299606495608,0.0102330498043007,0.00690171631749885,"Florida","12","Pasco County (East Central)",10101
"12_10102",10102,12,107836,54785.504369468,2629.93082047382,4509,0.02438824530281,0.508044663836455,0.0418134945658222,586.594493666621,1441.67272776831,483.405237448112,0.00539047269551495,0.0123024880909345,0.00446516115239198,"Florida","12","Pasco County (West Central)",10102
"12_10103",10103,12,135461,67779.6184252575,5594.83426613714,7954,0.0413021774985948,0.500362601968519,0.058718007396963,1263.63467821994,1565.05033394951,960.096874129366,0.00926117695357182,0.0102206516660426,0.00705643059590355,"Florida","12","Pasco County (Gulf Coast)",10103
"12_10104",10104,12,134129,81857.8505121479,1877.59899509587,2827,0.0139984566730228,0.610291961560497,0.0210767246456769,727.161398865479,1638.91458400461,604.699838049084,0.00539168453476733,0.0100565343596827,0.00448363874490342,"Florida","12","Pasco County (South)",10104
"12_102",102,12,114611,69208.9726854952,4773.80902714955,7686,0.0416522761964345,0.603859775113167,0.0670616258474317,1019.67006918905,1554.63255621482,778.081655125347,0.00878834823404824,0.0132416313751373,0.00672436205287028,"Florida","12","Alachua County (Outer)",102
"12_10301",10301,12,123856,62606.9838153245,2765.80710615905,3833,0.0223308285925514,0.505482042172559,0.0309472290401757,836.233340641235,1381.81602862264,795.511126752686,0.00671384288632746,0.0103547872595753,0.00640201591830055,"Florida","12","Pinellas County (North)",10301
"12_10302",10302,12,112059,57398.8477983841,3326.05390771735,3709,0.0296812742190931,0.512219882368967,0.0330986355402065,733.063980836598,1389.9191126611,741.077694859159,0.0065289438548628,0.0116718664824597,0.00661553402003912,"Florida","12","Pinellas County (North Central)",10302
"12_10303",10303,12,106905,57432.6477824999,5744.36593701787,7980,0.05373337016059,0.537230698119825,0.0746457134839343,1121.14521806945,1429.48452915619,984.177776989401,0.0104152653885181,0.0123801086235913,0.0091230617171487,"Florida","12","Pinellas County (Central)--Clearwater City (South & Central)",10303
"12_10304",10304,12,109576,58845.7011993455,3288.20327528929,4980,0.0300084258896956,0.537030930124712,0.0454479083010878,770.358715145094,1333.11710464656,632.792934632301,0.00704561783636281,0.0101008315459605,0.00579185608053837,"Florida","12","Pinellas County (Central)--Greater Largo City",10304
"12_10305",10305,12,107274,53648.0088569169,2143.19972387877,3161,0.0199787434408969,0.500102623719791,0.0294665995488189,582.945366222256,1185.80942616961,530.74354161669,0.00543206200258174,0.00967577025283215,0.00494395021113471,"Florida","12","Pinellas County (West Central)--Greater Seminole City",10305
"12_10306",10306,12,113046,66620.8807499714,5534.79423035356,7126,0.0489605490716484,0.589325413990512,0.0630362861136175,986.696939287844,1315.05881655085,862.858611256676,0.00874774024635837,0.0101222384683627,0.00767673349161204,"Florida","12","Pinellas County (Central)--Greater Pinellas Park City",10306
"12_10307",10307,12,154849,83859.8127477455,2477.1193940787,4184,0.0159969996194919,0.541558632911711,0.027019870971075,689.920792555203,1312.79630719979,592.702651359807,0.00445655617941278,0.00865652008688135,0.0038319023102245,"Florida","12","Pinellas County (Southeast)--St. Petersburg City (East)",10307
"12_10308",10308,12,112703,58268.8589158807,4161.86765054333,6377,0.0369277450515366,0.517012492266228,0.0565823447468124,1045.36637118285,1513.71545112451,905.831058301706,0.00929852507673686,0.0118999414311812,0.00803292318726205,"Florida","12","Pinellas County (South Central)--St. Petersburg City (West)",10308
"12_10501",10501,12,184500,109628.389244569,12632.4827046392,17485,0.068468740946554,0.594191811623678,0.094769647696477,1526.26427921248,2115.41242996539,1550.201262051,0.00822129536122689,0.0102090889957867,0.00841493602982472,"Florida","12","Polk County (Northwest)",10501
"12_10502",10502,12,181875,101939.030705437,9045.94644130687,10872,0.0497371625638866,0.560489515906181,0.0597773195876289,1361.61622713597,2374.08111585975,1229.40672625392,0.00745406022113683,0.010734965278106,0.00672882336827197,"Florida","12","Polk County (Northeast)",10502
"12_10503",10503,12,145986,88494.5031596051,10646.6865021249,13751,0.0729295035285913,0.606184861285364,0.0941939638047484,1886.05670646457,2006.78901408769,1747.96039796662,0.0127308152246263,0.0102690347442522,0.0118627816215506,"Florida","12","Polk County (Central)",10503
"12_10504",10504,12,143608,77979.6618762882,10550.1765171201,13976,0.0734651030382713,0.543003606179935,0.0973204835385215,1667.08320128301,2133.54781018107,1592.87220042537,0.0115337512380325,0.0134814941411881,0.0110692636934412,"Florida","12","Polk County (South)",10504
"12_10700",10700,12,101544,50992.171749863,4132.33898923884,6668,0.040695058193875,0.50216823987496,0.0656661151815962,736.514561974168,1235.3551004881,648.477184810626,0.00717957689631269,0.0119076075464539,0.00638925782378447,"Florida","12","Putnam & St. Johns (South) Counties",10700
"12_10900",10900,12,202829,112773.860139906,3086.33350437255,3906,0.0152164311038981,0.55600461541449,0.0192576012305933,961.988201590851,2158.15728657752,812.988888551724,0.00473002077917311,0.0102198057067576,0.00399876252299348,"Florida","12","St. Johns County (North)",10900
"12_1101",1101,12,160678,101376.995023479,7197.42494496465,8895,0.0447940909456469,0.630932641826999,0.055359165536041,1132.31437772378,2230.02330146305,988.081201784559,0.00705467776964494,0.0137889001626897,0.00615399637436258,"Florida","12","Broward County (West)--Coral Springs & Parkland Cities",1101
"12_1102",1102,12,119059,75164.0551118246,8340.70280617178,9488,0.0700552062941212,0.63131770896635,0.0796915814848101,1163.51779101138,1318.00105003637,1131.14029773183,0.0097903630174329,0.0106330933296989,0.00951213209709926,"Florida","12","Broward County (North Central)--Margate & Coconut Creek Cities",1102
"12_1103",1103,12,108375,63234.6665267085,8828.47871518102,10692,0.0814623180178179,0.583480198631682,0.0986574394463668,1291.50311652741,1722.0112771022,1242.75986334003,0.0118768747877612,0.0146624237836768,0.0113993854512956,"Florida","12","Broward County--Deerfield, Pompano Beach (North) & Lighthouse Point Cities",1103
"12_1104",1104,12,119740,59835.4921417698,6908.72202066371,10574,0.0576976951784175,0.499711810103306,0.0883080006681142,1238.22411137887,1405.75384880593,1015.6101939925,0.0101575808768084,0.01048561507214,0.00836342983187935,"Florida","12","Broward County--Pompano Beach (South) & Fort Lauderdale (Northeast) Cities",1104
"12_1105",1105,12,180983,113379.315863533,15344.6340013352,19191,0.0847849466598254,0.626463899170271,0.106037583640452,1736.99147954157,2179.7899938171,1525.99354885669,0.00952875417629848,0.0118269264415622,0.00842057730587168,"Florida","12","Broward County (Central)--Tamarac, Oakland Park & North Lauderdale Cities",1105
"12_1106",1106,12,181705,117552.149195056,9209.81094335933,12429,0.0506855119196463,0.646939540436728,0.0684020802949836,1430.99703004583,1640.88658560926,1320.17188181825,0.00786297152105879,0.0089784054416931,0.00725742708546737,"Florida","12","Broward County (Central)--Plantation & Sunrise Cities",1106
