"PUMA","STATEFIP","tot_persons_point","essential_point","crowd_essential_point","crowd_point","crowd_essential_point_perc","essential_point_perc","crowd_point_perc","crowd_se","essential_se","crowd_essential_se","crowd_perc_se","essential_perc_se","crowd_essential_perc_se"
2400,1,138687,75544.2126917599,4203.21022032907,6719,0.030307168085899,0.544710122014031,0.048447222883183,944.303049873291,1591.3439076337,802.774473552778,0.00680704761014057,0.0114943924977357,0.00579425089343801
400,1,121674,72152.4373106909,5074.54799146639,7353,0.041706099836172,0.592997988976206,0.0604319739632132,1093.38691687801,1596.14519344679,961.63003131488,0.00898893688541216,0.013184792269583,0.00790013397455729
1302,1,97712,53188.5333131234,3600.35360952366,4353,0.0368465859825166,0.544339828405144,0.0445492877026363,965.077950219566,1435.00062269459,922.477078417508,0.00992164249791296,0.014074287925597,0.00948680793098296
2100,1,171501,101597.459966766,2990.12575719258,4290,0.0174350339484469,0.592401560146972,0.0250144314027323,807.002757120445,1825.22533350907,574.092894292312,0.00469807330241895,0.0105852398505166,0.00334417361140689
2703,1,199370,126519.626107985,8046.25893757607,10778,0.0403584237226065,0.634597111440963,0.0540602899132267,1664.44840713072,2172.85481901645,1450.00357010084,0.0083482123474354,0.010060934944443,0.00727997330676583
1305,1,109157,67877.2858735321,4390.79050175724,5112,0.0402245435634659,0.621831727452496,0.046831627838801,947.592317402373,1694.90069448835,1024.53701876462,0.00867818502247349,0.0145296710530128,0.00937795519393398
1800,1,127326,74981.6166322217,4773.63295176506,6900,0.03749142321101,0.588894779009956,0.0541916026577447,1049.83270095763,1244.27518825417,878.838901972414,0.0082375735463603,0.00986866810804879,0.00690238485726284
100,1,183058,105850.203900028,3842.03454806787,5616,0.0209880723490253,0.578233149603013,0.0306788012542473,861.221313020062,1635.45687648791,634.6983377177,0.00471358645836724,0.00876812802587394,0.00346812822893826
1900,1,153390,94737.8349273529,7362.33048829951,10185,0.0479974606447585,0.617627191651039,0.066399374144338,1379.91016011913,1822.36715917383,1095.91092678997,0.00898687346978804,0.0118213488596494,0.00714690917153702
2500,1,194461,109467.230733653,4244.859379034,6822,0.0218288468075038,0.562926400325274,0.0350815844822355,850.70782293335,1235.59096134171,615.407700621967,0.00437517844155568,0.00627315002363154,0.00316411596774775
1000,1,152718,88702.6708826614,5119.26712773116,7305,0.0335210461617567,0.580826561915828,0.0478332613051507,1051.73658774429,1391.09822734551,788.057236517048,0.00690099276588295,0.00899757928602209,0.00516514777948792
1400,1,115715,65323.6220540453,4618.31582499107,6127,0.0399111249621144,0.564521644160613,0.0529490558700255,870.154842542406,1356.23363637005,760.069590408959,0.0074972252675248,0.011469186713451,0.00654189184056095
1600,1,106921,64092.2706909555,3178.81477780534,4203,0.0297304998812706,0.599435758092007,0.0393093966573451,883.152336802661,1472.40434085832,825.374182432582,0.00822537860715186,0.0127559335287187,0.00767667028526713
1200,1,208272,127487.165499743,2788.28179662784,3677,0.0133876939609157,0.612118602115231,0.0176547975724053,804.772918281921,2040.9363211264,695.101207105042,0.00386747277785901,0.00981514554691009,0.00334065836539744
2000,1,190109,110333.79037421,9318.65384035326,12309,0.0490174260048355,0.580371210064807,0.0647470661567837,1721.93995249544,2257.72193206715,1410.15356533712,0.00906161362770628,0.0116380276121237,0.00742687839181457
2300,1,120778,71332.3690459016,2889.16021751204,4142,0.0239212457360781,0.590607304690437,0.0342943251254368,611.564837118682,1242.23130248053,545.894726166581,0.00506861612228512,0.0103127340022977,0.00452508929473941
2200,1,132199,65428.0764686228,3857.45833063522,5777,0.0291791793480679,0.49492111489968,0.0436992715527349,854.071045054216,1410.23011286842,697.003358545279,0.00646847987105124,0.0105446010997979,0.00527278591500563
200,1,188020,124492.485826946,4615.62359842563,6575,0.0245485778024978,0.662123634863023,0.0349696840761621,1161.17065929173,2102.48041040931,908.764836080472,0.00622098673389969,0.00966198169690537,0.00483656746991195
1303,1,169841,97427.6206050758,4075.0401701577,5682,0.0239932652902285,0.57364017289745,0.0334548195076572,1117.83111425653,1949.48829104306,800.558489942532,0.0065860042150774,0.0100631743421077,0.00472722764100875
1304,1,175626,108425.053688719,4286.01698595738,5572,0.0244042282233689,0.617363338507507,0.0317265097422933,1065.69273245153,2408.07697031254,1019.30421504904,0.00603325452158035,0.0116787329717616,0.00577619362007735
600,1,150196,91728.1887435993,4724.91470552694,6616,0.0314583258244357,0.610723246581795,0.0440491091640257,1059.81800324395,1661.42384018368,895.790816981414,0.00705827483900068,0.0109302772193588,0.00596883981751667
1700,1,122993,63451.4790489428,4214.00073024434,7836,0.0342621184152296,0.515895043205246,0.0637109428991894,1037.97268750194,1368.91240554128,807.356000877394,0.00845865115707354,0.0111494381572933,0.00657582145131247
2600,1,205093,117663.952766199,6620.08845635683,8499,0.0322784710173279,0.573710232753915,0.0414397370948789,1762.4937304853,2212.96492225002,1339.1146257934,0.00859765391956001,0.0107213599934442,0.00653030455799262
301,1,124021,85008.6254180338,3617.80267925243,5184,0.0291708878274843,0.685437348658967,0.0417993726868837,1116.89860775274,1584.14189151489,855.458565334972,0.00892639464280096,0.0112390478767521,0.0068543907360437
500,1,124399,77128.3459975042,4652.67075891811,6516,0.0374011909976616,0.620007765315671,0.0523798422816904,943.015137736399,1380.45665923005,871.089983221902,0.00758298696110483,0.0107712641467665,0.0069950836764564
1301,1,91031,48912.7374739234,2473.4781124077,2843,0.0271718218234195,0.537319566674247,0.031231119069328,892.850687405235,1651.9894180958,848.776324527982,0.00978540691804544,0.0154312002202896,0.00930899472142195
2701,1,99586,53251.3454571899,2935.57269498906,4518,0.0294777648965624,0.534727225284577,0.0453678227863354,774.85317964115,1425.481540181,695.628166775792,0.00775259153762283,0.0125852458305954,0.00696995318312188
