"PUMA","STATEFIP","tot_persons_point","essential_point","crowd_essential_point","crowd_point","crowd_essential_point_perc","essential_point_perc","crowd_point_perc","crowd_se","essential_se","crowd_essential_se","crowd_perc_se","essential_perc_se","crowd_essential_perc_se","poc_ind"
200,10,62509,42184.1935844279,3827.03114218685,4139,0.0612236820647723,0.674849918962516,0.0662144651170232,1110.58306758207,1227.59555432903,1092.17476530249,0.0178074454641665,0.0193559198387384,0.017510453983119,1
103,10,77264,46231.5554555168,747.612728997621,930,0.0096760810855977,0.598358296949638,0.0120366535514599,370.358745002734,1365.39427304305,351.787774959626,0.00478420336289531,0.0145516087377346,0.00454150486617371,0
300,10,162764,84529.7032360856,3079.29531329546,3762,0.0189187738891613,0.519339062913701,0.0231132191393674,852.718153905498,1426.14994991666,739.586106020132,0.00523563887507644,0.00872239331907483,0.00454003180501161,0
101,10,67003,40822.0115603769,2667.00928702087,3893,0.0398043264782304,0.609256474491842,0.0581018760354014,808.090527106957,1206.49846118131,684.076761632285,0.0121321572586499,0.0170337672735011,0.0102348014247747,1
200,10,107025,66561.3520687631,2980.23856165179,3222,0.0278461907185404,0.621923401717011,0.0301051156271899,868.183765109668,1192.25214472229,824.49383329333,0.00809898475528622,0.0110241205409645,0.00769125046646353,0
300,10,53877,37685.0219486336,7434.08084965237,10243,0.137982457257315,0.699464000382976,0.1901182322698,1191.08435889319,953.352773297228,1047.27114448459,0.0221177987462323,0.0176799433332575,0.0195004002794945,1
101,10,37361,20396.3695478956,604.682468910069,705,0.0161848577101809,0.545926756454475,0.0188699445946308,389.589655920175,770.235781366925,390.27203126657,0.0104130076405891,0.0170477866128386,0.0104225447257649,0
102,10,109612,62815.3434849616,262,357,0.00239024924278364,0.573069951145509,0.00325694267051053,166.465762245574,1410.61387216251,135.340127087276,0.00151601006248397,0.0115240633247054,0.00123235082444162,0
103,10,62022,43529.6208248971,2501.28526356238,4219,0.0403290004121502,0.701841617891991,0.0680242494598691,927.431372124105,1632.18850560934,703.007888137404,0.0148113712349725,0.0213386923061606,0.0112426805077097,1
102,10,36847,23412.404474065,1550.19438486555,2649,0.0420711152838915,0.63539513322835,0.0718918772220262,648.758198406772,1030.33834444711,401.523067848545,0.0173124093894169,0.0242400020289143,0.0108198515617617,1
104,10,87775,58116.8534191962,1956,2158,0.0222842495015665,0.66211168805692,0.0245855881515238,671.456327693767,1471.07428011459,679.827367792736,0.00765508655891422,0.0143404843571962,0.00775410725511338,0
104,10,60385,43697.5628038982,3214.86501125314,4453,0.0532394636292646,0.723649297075402,0.0737434793408959,994.70194028161,1427.29889398532,846.934022311006,0.0163071136688327,0.0176499944047459,0.0139265408698743,1
104,11,152341,70984.8075678434,8598.96712485689,16988,0.0564455210669281,0.465959968543224,0.111512987311361,1891.01865405923,2049.88043685261,1670.701897772,0.0123373050579599,0.0130610443245661,0.0109750259404129,1
101,11,75216,32658.3809702092,375.22680450641,1070,0.00498865672870679,0.434194599157217,0.014225696660285,278.852918220341,1128.34615271822,152.147347423326,0.00368955453157407,0.0141557775043947,0.00201812197987746,0
103,11,69810,35815.3161739068,2768.10815459036,4561,0.0396520291446836,0.513039910813734,0.0653344793009597,882.910216273433,1077.47243653647,635.82096989175,0.0124240020765057,0.0132841015383122,0.00913612263930146,1
103,11,41964,22685.3763303616,389.573095581477,809,0.00928350718667136,0.540591371898809,0.0192784291297302,216.193084995797,642.61920460782,144.021789987345,0.00517515654930737,0.0142904785695151,0.00342636704982,0
105,11,65562,31490.1228468433,4838.57714752886,7257,0.0738015488778387,0.480310589165115,0.110689118696806,926.528251053361,1305.56177149952,798.370310446941,0.013861118823887,0.0173601629333622,0.0120724980370102,1
102,11,97206,59176.4212464032,11628.3881342191,15214,0.119626238444326,0.608773339571664,0.15651297245026,1434.81195632041,1522.97304875054,1283.50283721393,0.0146236747526572,0.0128594600138505,0.0132159732089377,1
104,11,4686,2615.08183317059,0,67,0,0.558062704475158,0.0142979086641058,53.4616685111866,254.373846723532,0,0.0112490427382718,0.0433343092163417,0,0
105,11,81351,39308.0239720011,1336.15057939531,2253,0.016424513274518,0.483190421408478,0.0276948039974923,391.473690048259,1093.95048827086,313.798213136008,0.00478343687106187,0.0117236292404697,0.00384255299906095,0
101,11,26937,12281.9085526195,675.473803842575,1092,0.0250760590950208,0.455949383844507,0.0405390355273416,337.8326508791,723.531134476983,238.756381126229,0.0126313649905076,0.0202944520154209,0.0089285312591618,1
102,11,29805,18371.3170190078,320.039670420134,568,0.0107377846139955,0.616383728200227,0.0190572051669183,206.119382882833,669.337004981827,128.320500927811,0.00687598949353333,0.0160711222609166,0.00427435059587825,0
11703,12,66445,37138.8745908273,1015,1237,0.015275792008428,0.55894159968135,0.0186169011964783,357.831175276834,1222.13730866356,342.164945603725,0.00529189373959721,0.0159521429934389,0.00507633328143184,0
3107,12,82616,47993.8125054647,1841.59693331979,2957,0.0222910445109881,0.580926364208684,0.0357920983828798,563.712648430031,1398.50225113486,423.119660884029,0.00679944060345911,0.0123657289294506,0.00505292128996306,0
8607,12,103411,70493.0184768411,12286.1259107501,15667,0.118808694536849,0.681678143300434,0.151502257980292,1291.90398250025,1398.88980681431,1109.17299884544,0.0123599707392639,0.0116649215944937,0.0105759366633791,1
5707,12,109232,73952.4129051276,7163.18786491629,9280,0.0655777415493289,0.677021503818731,0.0849567892192764,1321.02134729156,1937.17010448952,1199.82273857694,0.0121402763980625,0.01274811327576,0.0109684734561062,1
7301,12,70682,40148.3256677842,3353.87108838115,4600,0.0474501441439284,0.568013435779749,0.065080218443168,755.840260901733,1369.81000978354,669.302041201206,0.0106137089442475,0.0181511047529355,0.00943592575613636,1
11102,12,114955,64271.0080092875,3105.17650192891,3484,0.0270121047534157,0.559097107644622,0.0303075116349876,938.748768308113,1714.03767686849,879.843141914028,0.00819937356089455,0.0139446062474579,0.007678772756643,0
5707,12,93888,56379.9136736826,1257.49464854204,1995,0.013393560929427,0.600501807192428,0.0212487218813906,393.687629980928,1155.57018502619,296.996888452712,0.00413335181659757,0.00981015053626799,0.00314707249190914,0
10308,12,80050,37707.0904316851,1666.52003843042,2588,0.0208184889248023,0.471044227753717,0.0323297938788257,732.497781566606,1162.46388326885,627.486195909455,0.00913390676915154,0.0127039832977441,0.00782990310631874,0
9901,12,90894,42608.7839214924,808.480689483029,944,0.00889476411515644,0.468774439693405,0.010385724030189,273.778012265412,1272.77248807551,246.70647209544,0.00298715636556692,0.0125772799793274,0.00269906271663622,0
5301,12,141948,69252.1332695964,2175.71524303605,3393,0.0153275512373267,0.487869735886355,0.0239031194521938,632.824975802947,1295.1044882204,529.522360435553,0.00444820387924487,0.00897818170528341,0.00372551539053271,0
8615,12,113416,73781.3173758497,16367.158438082,19962,0.144310841839617,0.650537114479877,0.176006912604923,1807.3016073694,1816.68642495217,1795.1020959161,0.0161268104135684,0.0140049605702318,0.015988697309683,1
7103,12,83830,58167.0466653427,9579.0169696663,13454,0.114267171295077,0.693869100147235,0.16049147083383,1314.98956269622,1419.60880109418,1057.34739433326,0.0152034157290437,0.0144384119269357,0.0124876056775523,1
8101,12,90129,48220.7908806358,1505.72828497122,2513,0.0167063684826329,0.535019703765002,0.0278822576529197,508.419216788665,1366.66001068208,387.411170862452,0.00561344864059733,0.0126264996082435,0.00431030844498014,0
8700,12,55078,29012.8110249424,2277.82610713352,2471,0.0413563692787233,0.526758615507869,0.0448636479174988,484.102571775858,874.481556288093,452.213718993422,0.00875698924021362,0.0145031308971277,0.00817839993283341,0
10900,12,34031,21736.2995918732,1352.77007676233,1550,0.0397511115383718,0.638720566303464,0.0455467074138286,477.730938918551,934.356498444633,440.009375886372,0.0140081666954736,0.0254219277270725,0.0128567225011554,1
9501,12,53806,33032.3251830135,1070.48100497677,1208,0.0198951976541049,0.613915273073886,0.0224510277664201,391.437989980533,1158.33718240291,375.12214244326,0.00726746241795819,0.0163703337715613,0.00695988602207499,0
9902,12,68828,27924.7501857137,1055.55978864717,1849,0.0153361973128258,0.405717879143861,0.0268640669494973,530.024103225504,929.361863413711,411.552317289992,0.0076462162368291,0.0133473858395837,0.00598104475140812,0
5701,12,39810,22030.5348963356,626.465975827808,1144,0.0157363972827884,0.553391984333976,0.0287364983672444,323.557800091421,853.677723034427,215.108736802292,0.00800785266367848,0.017981358626744,0.00536718806819314,0
5701,12,114255,66080.3396400514,8333.25813866904,13758,0.0729356101585842,0.578358405671974,0.120414861494027,1268.52562055325,1586.44268588195,1114.43527368899,0.0108229495751376,0.0112055441605517,0.00962625881104902,1
9902,12,52259,33798.5554036341,4463.72663800313,6615,0.0854154621788234,0.646750902306476,0.126581067375954,999.077774750294,1362.02607962503,832.53127400575,0.0192670366054915,0.0224267254736971,0.0160623609416529,1
6300,12,108640,61011.2359653563,3963.25828791299,4845,0.0364806543438235,0.561590905424856,0.0445968335787923,893.194351751062,1020.74802082114,862.460800789745,0.0082353584600366,0.00913156776835143,0.00795860555240246,0
1109,12,58615,37064.5394404038,4877.90848982641,6745,0.0832194573031887,0.632338811573895,0.115072933549433,1021.64188931347,1436.13263918271,871.67431885464,0.0175009539838481,0.0186982149671243,0.0149812349368587,1
8622,12,11352,6719.45487862149,330.491313988487,529,0.0291130473915158,0.591918153507883,0.046599718111346,167.318409029013,594.507561036766,113.419729940199,0.0147010198987434,0.0347430372747247,0.0101292433596023,0
12100,12,68128,35953.1862558637,1408.34850965079,3140,0.0206720953154472,0.527729953262442,0.0460897134805073,741.9808285933,1052.26408659619,425.772395851649,0.0108996197349254,0.0155916390635619,0.00626260863792591,0
9907,12,84422,25549.1067121258,610,942,0.00722560470019663,0.302635648434364,0.0111582288976807,279.600786837233,892.79755145639,258.28308113386,0.00331563314624279,0.00997227802566478,0.00307045377121519,0
9504,12,87331,58884.5634590997,9971.19986145713,11765,0.114177094748224,0.674268741444615,0.134717339776254,1337.04936333705,1705.46374580638,1238.5955631468,0.0147004666955187,0.0148193917471702,0.0137198094688594,1
10504,12,64907,39989.3885520397,7842.10541322844,10325,0.12082064204521,0.616102863358955,0.159073751675474,1531.70057452493,1846.67823836995,1395.64225558561,0.0230926384458453,0.0225599204552025,0.0210623847097938,1
1111,12,89092,56231.5266569829,3164.57256123564,4475,0.0355202774798595,0.631162468650192,0.0502289767880393,738.087494813454,1715.05914969704,646.746792051235,0.00826042517609436,0.0162548814262645,0.00727297405226036,1
9903,12,52611,21243.7962556872,2027.9049503579,2823,0.0385452652555149,0.40379001075226,0.0536579802702857,642.028542979204,1004.56228615484,597.81943922644,0.0119296705244027,0.016356000852455,0.0112703769850208,0
9904,12,44203,22742.9933349794,1622.57805091856,2139,0.0367074192004743,0.51451243886115,0.0483903807433885,564.87896933768,1015.44223727223,497.116578052201,0.012658347908476,0.0180824209088573,0.0112010102398511,0
11501,12,94641,42196.2783605787,913.580876721541,1337,0.00965311943789204,0.445856218347003,0.0141270696632538,420.770305511214,1113.28506348745,354.838413851189,0.00445727098881496,0.00962991780147576,0.00374548378630301,0
9505,12,54277,28425.8458241481,1061.78227381194,1419,0.0195622874110939,0.523718072556482,0.0261436704313061,406.793129243845,1003.2143667758,370.911684485641,0.00753311259097368,0.014141360337034,0.00682331619261485,0
10103,12,108944,51190.1860904033,3695.48624156694,5671,0.0339209707883587,0.469876139029256,0.0520542664121016,1050.25803972167,1358.29801914788,719.913270823353,0.00961062290610206,0.0109678204044016,0.00660937352014387,0
8102,12,85611,38408.9305497469,2609.52093467592,3218,0.0304811406790706,0.448644806739168,0.037588627629627,649.213601213037,1166.32035150195,553.524671423873,0.00759634054024648,0.0113334943488961,0.00647044597170856,0
1112,12,30405,16252.4388872401,403.902067869775,478,0.0132840673530595,0.534531783826347,0.0157210985035356,257.908220109402,1192.59488465276,234.272223908083,0.00846965282722381,0.0261775678265817,0.00770700335752991,0
11502,12,122834,50054.2396373845,1214.33287251737,1729,0.00988596701660264,0.407494990290836,0.0140759073220769,389.430353208375,1486.55089010466,321.84786727223,0.00315227668983549,0.0104911052491661,0.00262500355677356,0
10305,12,94561,45424.7851704117,1495.12461836609,2260,0.0158112183497011,0.480375473719734,0.0238999164560442,450.292960193694,1040.16585845303,417.213783205717,0.00478669728667672,0.00953264003704662,0.00440504984705254,0
9906,12,95922,37874.2139483292,1016.88807732845,1524,0.0106011976118977,0.394843872608257,0.0158879089260024,372.106570756282,1088.4134186711,304.526265973152,0.0039020197732369,0.00987185255879458,0.0031832518787161,0
